validation_scheme,model,folds,test_rows_mean,r2_mean,r2_std,adjusted_r2_mean,adjusted_r2_std,mae_log_mean,mae_log_std,rmse_log_mean,rmse_log_std,mae_dollars_mean,mae_dollars_std,rmse_dollars_mean,rmse_dollars_std,max_host_overlap
random_5fold,Baseline: listing + official neighbourhood,5,3161.8,0.6342838091675953,0.013880937400919688,0.6082575693281291,0.014847258047443678,0.32219454843617223,0.0028455913267392244,0.42249265598679153,0.006463870814175345,55.793490784372565,0.9553068862756837,103.78165407742968,3.025766443488608,1014
random_5fold,Expanded: baseline + network community,5,3161.8,0.6357405327567995,0.012986076857609902,0.6076906332393434,0.013967462201489348,0.3213565007495565,0.0026262235186705887,0.421657959412717,0.00584401103707231,55.61315839248848,0.9166356442246165,103.49086677035343,2.9320626016275044,1014
host_grouped_5fold,Baseline: listing + official neighbourhood,5,3161.8,0.6250036535544576,0.015619135546316268,0.598308861446769,0.017609674801941956,0.32618374024036223,0.006244484669862288,0.42665648905347753,0.007447813293482882,56.126167296219045,2.235146377833956,103.7701388534592,4.069096505661625,0
host_grouped_5fold,Expanded: baseline + network community,5,3161.8,0.6262172371314202,0.016501476851846227,0.5974174411360859,0.018729316703592493,0.32549768219695024,0.0058111365436805,0.4259448258515718,0.007242096499812606,55.98515098292953,2.241787846958967,103.52118525950956,3.9817091056596845,0
spatial_block_5fold,Baseline: listing + official neighbourhood,5,3161.8,0.5295326688572777,0.15068330430113622,0.4880943158047935,0.1416322459029176,0.3460262999304675,0.041721269672487,0.44507543025332075,0.05374263912293831,51.73537842901427,15.048765384302682,95.20599742950955,18.734118059484032,194
spatial_block_5fold,Expanded: baseline + network community,5,3161.8,0.5261947511493387,0.15213260855770583,0.4807506322097114,0.14100738038399913,0.3470395229374097,0.041028146870100694,0.44667908826914393,0.053917699985494213,51.6731501136526,14.841580654625721,94.93542787305432,18.564745617925634,194
