validation_scheme,folds,r2_delta_mean,r2_delta_std,adjusted_r2_delta_mean,adjusted_r2_delta_std,mae_log_delta_mean,mae_log_delta_std,rmse_log_delta_mean,rmse_log_delta_std,mae_dollars_delta_mean,mae_dollars_delta_std,rmse_dollars_delta_mean,rmse_dollars_delta_std,expanded_r2_wins,expanded_adjusted_r2_wins
random_5fold,5,0.0014567235892042562,0.001223712393021324,-0.0005669360887857299,0.0012582212637281733,-0.0008380476866157394,0.00029254032420815966,-0.0008346965740745671,0.0007012295242672009,-0.18033239188408742,0.08995313172090807,-0.2907873070762349,0.25942321795496054,5,2
host_grouped_5fold,5,0.0012135835769625958,0.0011241027873675534,-0.0008914203106830332,0.0013450968056888358,-0.0006860580434119746,0.0008932988522698952,-0.00071166320190581,0.0006841333947612752,-0.14101631328951073,0.09978163954444459,-0.24895359394963065,0.2365978660850982,4,1
spatial_block_5fold,5,-0.0033379177079390977,0.009293288296613883,-0.007343683595082107,0.008982285172781114,0.0010132230069421877,0.003929780988106235,0.0016036580158232284,0.004421210262871186,-0.062228315361669215,0.5027779644620913,-0.27056955645523717,1.0999380794632505,1,1
