id,host_id,latitude,longitude,neighbourhood_cleansed,price,room_type,property_type,accommodates,bedrooms,beds,bathrooms_text,minimum_nights,availability_365,number_of_reviews,review_scores_rating,instant_bookable,host_is_superhost,license,calculated_host_listings_count,reviews_per_month,price_w,log_price,log_price_w
939046670278844044,13491979,43.66104,-79.45642,High Park North,182.0,Entire home/apt,Entire home,2,1.0,1.0,1 bath,2,176,65,4.97,f,t,STR-2302-HLJKVX,1,2.34,182.0,5.204006687076795,5.204006687076795
939106227718174732,440903372,43.75803,-79.44893,Bathurst Manor,164.0,Entire home/apt,Entire home,6,3.0,3.0,2 baths,28,364,2,5.0,f,f,Unknown,3,0.12,164.0,5.099866427824199,5.099866427824199
939118471477942430,1257297,43.601804239223874,-79.51873993152051,New Toronto,173.0,Entire home/apt,Entire home,5,3.0,3.0,1 bath,28,365,8,4.13,t,f,STR-2307-GDVPHS,1,0.3,173.0,5.153291594497779,5.153291594497779
939122034261699975,525943610,43.76591,-79.28364,Dorset Park,65.0,Private room,Private room in home,2,1.0,1.0,1 shared bath,1,12,16,4.5,f,t,STR-2303-FFZBHP,2,0.58,65.0,4.174387269895637,4.174387269895637
939130382708404302,440903372,43.756266522528186,-79.44981064402471,Bathurst Manor,92.0,Entire home/apt,Entire home,6,3.0,3.0,1 bath,28,337,2,4.5,f,f,Unknown,3,0.08,92.0,4.5217885770490405,4.5217885770490405
939337183958071297,435753104,43.6451021,-79.3908361,Waterfront Communities-The Island,230.0,Entire home/apt,Entire rental unit,2,1.0,1.0,1 bath,1,336,139,4.94,f,t,STR-2303-GDBHHS,1,5.0,230.0,5.438079308923196,5.438079308923196
939354025575893836,74919113,43.69409,-79.28297,Oakridge,180.0,Entire home/apt,Entire home,6,3.0,3.0,2 baths,2,327,64,4.95,f,Unknown,STR-2301-GFXRVS,1,2.79,180.0,5.19295685089021,5.19295685089021
939371473275922991,524903124,43.631290534856944,-79.5187029758031,Islington-City Centre West,60.0,Entire home/apt,Entire home,2,1.0,1.0,1 bath,28,168,23,4.91,f,t,STR-2307-GJHPHS,2,0.83,60.0,4.0943445622221,4.0943445622221
939708990496883005,45284098,43.60705,-79.49041,Mimico (includes Humber Bay Shores),177.0,Entire home/apt,Entire rental unit,4,1.0,1.0,1 bath,3,360,49,4.9,t,t,STR-2309-GKFDVS,1,2.01,177.0,5.176149732573829,5.176149732573829
939737735192394314,182745822,43.6422,-79.40125,Waterfront Communities-The Island,320.0,Entire home/apt,Entire rental unit,2,1.0,1.0,1 bath,28,365,0,4.89,t,f,STR-2212-FTCHHQ,2,0.87,320.0,5.768320995793772,5.768320995793772
939775595530320953,253678734,43.658,-79.41384,Palmerston-Little Italy,135.0,Entire home/apt,Entire rental unit,2,1.0,1.0,1 bath,31,220,0,4.89,f,f,Unknown,24,0.87,135.0,4.90527477843843,4.90527477843843
939810224535322722,42328887,43.6732717,-79.3259032,Greenwood-Coxwell,124.0,Entire home/apt,Entire home,2,1.0,1.0,1 bath,1,189,159,4.96,f,t,STR-2304-FJBHHP,1,5.67,124.0,4.820281565605037,4.820281565605037
939854255223935329,429428276,43.77662592972029,-79.41458109224396,Willowdale East,192.0,Entire home/apt,Entire rental unit,2,1.0,1.0,1 bath,28,269,0,4.89,f,f,Unknown,6,0.87,192.0,5.2574953720277815,5.2574953720277815
939864667455871534,54422135,43.77687,-79.41439,Willowdale East,177.0,Entire home/apt,Entire rental unit,2,1.0,1.0,1 bath,28,269,0,4.89,f,f,Unknown,35,0.87,177.0,5.176149732573829,5.176149732573829
939926948019822361,305398004,43.82237104940418,-79.30623131499043,Milliken,40.0,Private room,Private room in home,2,1.0,1.0,1 private bath,28,266,9,4.89,f,t,Unknown,3,0.34,40.0,3.6888794541139363,3.6888794541139363
939960366749130150,389756533,43.75897,-79.46132,Bathurst Manor,80.0,Private room,Private room in home,2,1.0,1.0,1 private bath,1,26,159,4.96,t,Unknown,STR-2101-HVTDVL,2,5.89,80.0,4.382026634673881,4.382026634673881
939973541368400323,88870453,43.79084918568224,-79.1583007929506,Centennial Scarborough,110.0,Entire home/apt,Entire home,3,2.0,2.0,2 baths,28,364,9,4.67,f,f,STR-2307-GGBPHS,10,0.39,110.0,4.700480365792417,4.700480365792417
940014005375121655,2961074,43.6667952,-79.3512374,North Riverdale,137.0,Private room,Private room in guest suite,2,1.0,1.0,1 private bath,2,0,139,4.99,f,t,STR-2307-HVHPHY,1,5.24,137.0,4.919980925828125,4.919980925828125
940069996992900439,277257023,43.78303,-79.38823,Bayview Village,31.0,Private room,Private room in home,1,0.0,1.0,1 shared bath,59,346,3,5.0,f,t,Unknown,4,0.16,32.0,3.4339872044851463,3.4657359027997265
940084977965377835,32550714,43.71839830580235,-79.2481868817872,Cliffcrest,40.0,Private room,Private room in guest suite,1,1.0,1.0,1 shared bath,28,141,21,4.71,f,f,STR-2209-FZLRVD,3,0.76,40.0,3.6888794541139363,3.6888794541139363
940414481559582958,503710061,43.70016241236837,-79.53019546156648,Humber Heights-Westmount,72.0,Private room,Private room in home,2,1.0,1.0,1 private bath,1,364,72,4.85,f,t,STR-2208-FZTVHD,1,2.58,72.0,4.276666119016055,4.276666119016055
940492017744552504,997860,43.67938,-79.46035,Weston-Pellam Park,108.0,Entire home/apt,Entire rental unit,4,2.0,2.0,1 bath,3,56,39,4.56,f,f,STR-2304-FZDVHR,1,1.43,108.0,4.68213122712422,4.68213122712422
940495229207266787,527076592,43.64626,-79.39751,Waterfront Communities-The Island,331.0,Entire home/apt,Entire rental unit,4,1.0,2.0,1 bath,28,347,41,4.95,f,t,STR-2307-FGFBHP,1,1.55,331.0,5.802118375377063,5.802118375377063
940510408697589928,319036663,43.76419689999999,-79.3896477,Willowdale East,80.0,Private room,Private room in home,1,2.0,3.0,2 shared baths,28,87,1,5.0,f,f,STR-2009-GVCHBH,2,0.04,80.0,4.382026634673881,4.382026634673881
940510773876610704,521375378,43.6330624,-79.4856817,Stonegate-Queensway,220.0,Entire home/apt,Entire guest suite,6,2.0,3.0,1 bath,1,338,113,4.88,f,Unknown,STR-2303-FHDVHP,1,4.05,220.0,5.393627546352362,5.393627546352362
940513118851174182,118475910,43.6648988705517,-79.47199945147148,Junction Area,117.0,Private room,Private room in condo,2,1.0,1.0,1 private bath,3,356,66,4.94,f,t,STR-2304-HKVHHX,2,2.39,117.0,4.762173934797756,4.762173934797756
940644094703349953,523170283,43.77908,-79.39774,Willowdale East,122.0,Entire home/apt,Entire home,16,5.0,11.0,3 baths,28,317,36,4.97,t,Unknown,STR-2409-HFBFBW,1,1.31,122.0,4.804021044733257,4.804021044733257
940752049165540224,527151151,43.6417442,-79.3819559,Waterfront Communities-The Island,271.0,Entire home/apt,Entire condo,5,2.0,3.0,1 bath,1,94,144,4.94,f,t,STR-2307-FGVPHP,1,5.9,271.0,5.602118820879701,5.602118820879701
940779007656167036,512840419,43.684040978918304,-79.48991291829238,Mount Dennis,50.0,Private room,Private room in home,2,1.0,1.0,1 shared bath,28,365,2,5.0,t,f,STR-2303-FGMBHP,9,0.07,50.0,3.912023005428146,3.912023005428146
940804065653830827,191972966,43.734783875434495,-79.47736147577893,Downsview-Roding-CFB,97.0,Private room,Private room in townhouse,4,1.0,2.0,1 private bath,28,79,4,5.0,t,Unknown,STR-2305-HHRXVW,3,0.15,97.0,4.574710978503383,4.574710978503383
940829105429920079,90073492,43.78156,-79.15682,Centennial Scarborough,112.0,Entire home/apt,Entire rental unit,5,2.0,2.0,1 bath,28,345,1,5.0,t,f,Unknown,3,0.04,112.0,4.718498871295094,4.718498871295094
940835840134133112,77252681,43.64441173282455,-79.39144372370934,Waterfront Communities-The Island,261.0,Entire home/apt,Entire condo,3,1.0,2.0,1 bath,28,363,43,5.0,f,t,STR-2308-HSVRVY,1,1.62,261.0,5.564520407322694,5.564520407322694
941089359937531286,527214862,43.64844016125235,-79.42599984814899,Little Portugal,317.0,Entire home/apt,Entire home,4,2.0,2.0,2.5 baths,1,339,38,4.89,f,t,STR-2305-FKPKVP,1,1.44,317.0,5.75890177387728,5.75890177387728
941184887432858534,133536585,43.7965763,-79.41754019999999,Newtonbrook East,125.0,Entire home/apt,Entire home,3,3.0,4.0,1 bath,28,268,1,5.0,f,f,Unknown,2,0.04,125.0,4.8283137373023015,4.8283137373023015
941341034143647686,228148349,43.69809,-79.55547,Kingsview Village-The Westway,49.0,Private room,Private room in home,4,1.0,2.0,1.5 shared baths,28,315,22,4.77,f,f,STR-2102-GGQRVF,3,0.79,49.0,3.8918202981106265,3.8918202981106265
941381022431906687,149273127,43.64126352517713,-79.38254194546735,Waterfront Communities-The Island,202.0,Entire home/apt,Entire rental unit,5,2.0,1.0,2 baths,28,365,1,5.0,f,f,Unknown,5,0.07,202.0,5.308267697401205,5.308267697401205
941415126513993462,211409357,43.6874597,-79.46470049999999,Keelesdale-Eglinton West,110.0,Entire home/apt,Entire rental unit,4,2.0,2.0,1 bath,28,270,32,4.69,f,Unknown,STR-2305-FKRXVP,1,1.18,110.0,4.700480365792417,4.700480365792417
941517061501392491,138632225,43.79091394085573,-79.3955371896971,Newtonbrook East,51.0,Private room,Private room in home,2,1.0,1.0,1 shared bath,3,361,22,5.0,f,Unknown,STR-2305-HWJRVY,3,0.82,51.0,3.9318256327243257,3.9318256327243257
