validation_scheme,fold,model,test_r2,test_adjusted_r2_approx,mae_log_price,rmse_log_price,mae_dollars_approx,rmse_dollars_approx,train_rows,test_rows,train_hosts,test_hosts,host_overlap_count,encoded_features,test_spatial_block
random_5fold,1,Baseline: listing + official neighbourhood,0.639765113858694,0.6142606791691503,0.320353167866578,0.4200041246177978,54.58957942976521,101.35692120171498,12647,3162,8646,2663,983,209,
random_5fold,1,Expanded: baseline + network community,0.641321778667834,0.6137029445891051,0.3194481900461872,0.4190956708419434,54.483565379896,101.01533091649809,12647,3162,8646,2663,983,226,
random_5fold,2,Baseline: listing + official neighbourhood,0.6246780703492492,0.5981054811564961,0.3257224205180615,0.42955758685614087,56.895139429583544,107.51270357087466,12647,3162,8599,2680,953,209,
random_5fold,2,Expanded: baseline + network community,0.6273713787047099,0.5986783400632327,0.32458609677774436,0.428013560302229,56.69601732672815,107.26973411022199,12647,3162,8599,2680,953,226,
random_5fold,3,Baseline: listing + official neighbourhood,0.6201456832868667,0.5929764423287409,0.323073491944315,0.42539190414206635,56.12467071702685,103.74801996614482,12647,3162,8647,2640,961,211,
random_5fold,3,Expanded: baseline + network community,0.6219116200123361,0.5925205014861897,0.32206261154640226,0.4244019320850683,55.96381407601151,103.47900861084932,12647,3162,8647,2640,961,228,
random_5fold,4,Baseline: listing + official neighbourhood,0.6551812694726766,0.6305179636620782,0.31840864842790995,0.4126857527060305,55.020410942514246,100.20304093533304,12647,3162,8668,2672,1014,211,
random_5fold,4,Expanded: baseline + network community,0.6554637224481412,0.6286808137260738,0.317757539951744,0.41251669547579317,54.82081562289215,100.13126832237094,12647,3162,8668,2672,1014,228,
random_5fold,5,Baseline: listing + official neighbourhood,0.6304979399410313,0.6041944034622573,0.323878514010362,0.426483094817383,56.90110698501432,109.1901084124456,12648,3161,8638,2650,962,210,
random_5fold,5,Expanded: baseline + network community,0.6328339972948005,0.6044171263046606,0.32271542314727414,0.4251328064780483,56.66305308917377,108.56696645270485,12648,3161,8638,2650,962,227,
host_grouped_5fold,1,Baseline: listing + official neighbourhood,0.6240344964449536,0.5994063764335946,0.3281413210911101,0.426521003440869,53.79526632101046,98.7952447493436,12441,3368,8260,2066,0,207,
host_grouped_5fold,1,Expanded: baseline + network community,0.6262333679848169,0.5995952115828439,0.3267964715628011,0.42527189918726876,53.5381166907841,98.67786468752932,12441,3368,8260,2066,0,224,
host_grouped_5fold,2,Baseline: listing + official neighbourhood,0.6018852864702894,0.5720337567777631,0.3323008383996401,0.4330678249483014,58.79410254138122,106.73156613054336,12783,3026,8261,2065,0,211,
host_grouped_5fold,2,Expanded: baseline + network community,0.6027019455241035,0.5703158331106233,0.33169658483693487,0.4326234174622319,58.546521624770754,106.1770796722099,12783,3026,8261,2065,0,228,
