graph,nodes,edges,density,average_degree,median_degree,average_weighted_degree,connected_components,largest_component_size,largest_component_fraction,average_clustering_weighted_approx,clustering_sample_size,build_seconds
Graph A: Spatial only,15809,1552469,0.012424290742499724,196.40318805743564,66.0,54.07354131777419,100,13881,0.8780441520652793,0.29720319228062697,500,6.009127616882324
Graph B: Spatial + shared host,15809,1555991,0.012452477039292177,196.84875703713075,67.0,54.74787239500868,53,15601,0.9868429375672085,0.16737979919691345,500,7.951072931289673
Graph C: Spatial + shared host + attribute similarity,15809,1607040,0.012861018284311479,203.30697703839584,73.0,56.19339738859654,1,15809,1.0,0.09992285253650887,500,12.311555862426758
