configuration,varied_parameter,radius_meters,attribute_k,alpha_spatial,alpha_host,alpha_attribute,nodes,edges,connected_components,largest_component_fraction,communities,largest_community,median_community_size,modularity,nmi_vs_neighbourhood,vi_vs_neighbourhood,nmi_vs_baseline,vi_vs_baseline,build_seconds,louvain_seconds,total_seconds
Baseline,baseline,500,5,0.6,0.25,0.15,15809,1607040,1,1.0,17,5857,717.0,0.7926355179451313,0.5182061244808219,4.502415189623931,1.0,0.0,10.993837356567383,32.33186149597168,43.32569885253906
Radius 300 m,spatial_radius,300,5,0.6,0.25,0.15,15809,918057,1,1.0,21,7629,238.0,0.8025406148389851,0.43400230338106877,5.172111213762118,0.694482397241198,1.914152080881987,8.200707197189331,15.185297727584839,23.38600492477417
Radius 700 m,spatial_radius,700,5,0.6,0.25,0.15,15809,2644251,1,1.0,14,4967,961.5,0.7429944939103568,0.5630713425050284,4.097255031197747,0.7438058517506229,1.6664490657232278,15.357030391693115,44.96502614021301,60.32205653190613
Attribute k = 3,attribute_neighbours,500,3,0.6,0.25,0.15,15809,1586802,1,1.0,19,5392,573.0,0.7980605222257419,0.5505955738309692,4.28118671794653,0.8630961127520611,0.9109022568279093,10.722502946853638,33.391945362091064,44.1144483089447
Attribute k = 10,attribute_neighbours,500,10,0.6,0.25,0.15,15809,1658047,1,1.0,17,7917,450.0,0.7818640652509545,0.4668245024302023,4.7469825158440795,0.8136376263643113,1.123850861034474,11.352642297744751,31.521024703979492,42.87366700172424
Spatial-heavy weights,edge_weight_profile,500,5,0.75,0.15,0.1,15809,1607040,1,1.0,19,5540,556.0,0.7982762779212412,0.5550152070204252,4.241764231445233,0.8540695640899039,0.9718402662196555,11.166760683059692,26.34540891647339,37.51216959953308
Attribute-heavy weights,edge_weight_profile,500,5,0.45,0.2,0.35,15809,1607040,1,1.0,14,7637,702.5,0.7701768781562115,0.436646030308497,5.019891909945653,0.742920189306246,1.552236935775225,11.114079236984253,26.88915228843689,38.00323152542114
