seed_a,seed_b,nmi,ami
42,43,0.9209560146136354,0.9206650257648205
42,44,0.8360477525691086,0.8354193454975208
42,45,0.8698810599295034,0.8694021917410235
42,46,0.8650666726293028,0.8645725692415432
42,47,0.8841551090238847,0.8837045506685107
42,48,0.8423031114363918,0.841738857541659
42,49,0.9040382333146413,0.9036692898827771
42,50,0.8931172932660947,0.8927297277449298
42,51,0.8796738868644328,0.8792353949513425
43,44,0.8567108822715334,0.8561264588518857
43,45,0.8665067717394641,0.8659834657070278
43,46,0.863926568508103,0.8633965939313136
43,47,0.8973505917579586,0.8969258944720612
43,48,0.8449655286742896,0.8443749349178832
43,49,0.9195817394943069,0.9192527010240157
43,50,0.8959559364242874,0.8955541003185825
43,51,0.8677267554787267,0.867214121991766
44,45,0.8821468223836939,0.8816658776247306
44,46,0.8731001686080238,0.8725854689246563
44,47,0.869548005520229,0.8689858443929774
44,48,0.8660296776376417,0.8654981256038847
44,49,0.89503482808072,0.8945874632100487
44,50,0.884701492611602,0.8842378228937816
44,51,0.8747819688210159,0.8742765566407721
45,46,0.8506104137734894,0.8500284722054388
45,47,0.9338359942761869,0.9335618020191508
45,48,0.8702462817078142,0.8697528234902921
45,49,0.9036264110027272,0.9032319750974568
45,50,0.9171212478490243,0.9168019534667656
45,51,0.8903487141638259,0.889923756914422
46,47,0.8424209863857379,0.8417726196970033
46,48,0.8339203700974701,0.8332913949126906
46,49,0.8526942216058483,0.8520948830777443
46,50,0.8285503702704674,0.8278922217999726
46,51,0.8553916213884583,0.8548341133100585
47,48,0.8822253831641441,0.8817511424817177
47,49,0.9246270581279663,0.9243011869007169
47,50,0.9431737689134081,0.9429416921535428
47,51,0.9091440879553149,0.9087720956015769
48,49,0.8629037498049039,0.8623582188754289
48,50,0.883570729937762,0.8831345439549604
48,51,0.9019493718027406,0.9015798434231294
49,50,0.9372913706185072,0.9370384870647055
49,51,0.8936029761545253,0.8931721937068756
50,51,0.9052100538205752,0.9048479961670448
