validation_scheme,model,folds,test_rows_mean,r2_mean,r2_std,adjusted_r2_mean,adjusted_r2_std,mae_log_mean,mae_log_std,rmse_log_mean,rmse_log_std,mae_dollars_mean,mae_dollars_std,rmse_dollars_mean,rmse_dollars_std,max_host_overlap
random_5fold,Baseline: listing + official neighbourhood,5,3161.8,0.6340536153817036,0.013901198058890887,0.6080109939557445,0.014868973905960812,0.32228724855344526,0.002904088406353338,0.4228244926278837,0.006634381144199758,55.90618150078084,1.0646222965246077,104.40215881730262,3.870849737081802,1014
random_5fold,Expanded: baseline + network community,5,3161.8,0.6357804994255644,0.013132745776116984,0.6075999452338523,0.014131212053570638,0.3213139722938704,0.002709274730568939,0.42183213303661643,0.00612319274661773,55.72545309894032,1.0293880083721347,104.09246168252903,3.730025612414479,1014
host_grouped_5fold,Baseline: listing + official neighbourhood,5,3161.8,0.6246170441319038,0.01538158822077019,0.5978940097370488,0.017389710717595493,0.32636222974577683,0.006017376919213636,0.4272039841087157,0.007212747878580517,56.32227575125736,2.3574846062684336,104.79536717343873,5.1043172799979235,0
host_grouped_5fold,Expanded: baseline + network community,5,3161.8,0.6261846933207315,0.016198225356595923,0.5972430218511393,0.0184754300255053,0.325527900941155,0.0050292659215724475,0.4262865373410688,0.00661952599647108,56.18122125004248,2.360412376714492,104.52672853640055,5.006461607725956,0
spatial_block_5fold,Baseline: listing + official neighbourhood,5,3161.8,0.5290002171253445,0.1515923810370492,0.4875382680350504,0.14254510618666433,0.3467710261758337,0.04301228115751397,0.44691589131427645,0.05731781425706643,52.258333770608616,16.21450995210226,97.48693789050495,23.996937499240087,194
spatial_block_5fold,Expanded: baseline + network community,5,3161.8,0.5313802072256198,0.15974523783264835,0.48653234097399284,0.1486157779069277,0.34395331230817683,0.04607370471217958,0.4454439280805431,0.061231562465736376,51.83033248014576,16.422907052792674,97.18071352159419,24.042281816802724,194
