validation_scheme,folds,r2_delta_mean,r2_delta_std,adjusted_r2_delta_mean,adjusted_r2_delta_std,mae_log_delta_mean,mae_log_delta_std,rmse_log_delta_mean,rmse_log_delta_std,mae_dollars_delta_mean,mae_dollars_delta_std,rmse_dollars_delta_mean,rmse_dollars_delta_std,expanded_r2_wins,expanded_adjusted_r2_wins
random_5fold,5,0.00172688404386081,0.000924925521692718,-0.000411048721892171,0.0009256129501248705,-0.0009732762595749067,0.0002076565032481025,-0.0009923595912672667,0.0005285172869036943,-0.18072840184051842,0.04989394340682749,-0.3096971347735831,0.20123420718683044,5,2
host_grouped_5fold,5,0.0015676491888276356,0.0014424242396272884,-0.0006509878859094042,0.0016804962704898255,-0.0008343288046217979,0.0014009461227360996,-0.0009174467676469234,0.0008804893045906791,-0.1410545012148816,0.17799226096553494,-0.26863863703819674,0.28437101902449546,5,2
spatial_block_5fold,5,0.00237999010027532,0.014785086119807648,-0.0010059270610575989,0.014550683443608653,-0.0028177138676569124,0.005242946737037291,-0.0014719632337332421,0.006433863653295995,-0.42800129046285634,0.5034280708824967,-0.3062243689107561,0.9766727677034783,3,2
